locality,house_size,n_bedroom,n_bathroom,n_room,sale_cond,park_facil,utility_avail,street,mzzone,sales_price,built_year,age,buildtype_Commercial,buildtype_House,buildtype_Others
1,1004,1,1,3,3,1,4,2,1,8124400,1967,44,1,0,0
6,1986,2,1,5,3,0,4,3,4,22781941,1995,11,1,0,0
2,909,1,1,3,3,1,1,3,5,13672408,1992,20,1,0,0
4,1855,3,2,5,2,0,3,2,3,10063653,1988,22,0,0,1
1,1226,1,1,3,3,1,4,3,2,7717313,1979,30,0,0,1
3,1220,2,1,4,1,0,2,1,4,13002093,2009,5,1,0,0
3,1167,1,1,3,1,0,4,1,5,8785897,1979,28,0,0,1
4,1847,3,2,5,2,0,4,3,6,17640263,1996,10,1,0,0
3,771,1,1,2,5,0,3,2,6,8599784,1977,34,0,0,1
4,1635,2,1,4,3,0,1,1,3,8528251,1991,15,0,0,1
3,1203,2,1,4,5,1,4,1,6,15460830,1978,28,1,0,0
3,1054,1,1,3,1,0,3,3,6,9837169,1972,37,0,0,1
3,1196,1,1,3,2,0,3,1,5,9099021,1991,19,0,0,1
2,1056,1,1,3,1,1,3,2,4,9743177,1981,26,0,0,1
4,1865,3,2,5,2,0,3,2,6,16414161,1956,54,1,0,0
4,1868,3,2,5,2,0,3,3,4,16499784,2000,9,1,0,0
1,1639,2,2,4,4,1,1,3,3,9019552,1991,18,0,1,0
3,796,1,1,2,5,1,4,1,5,11359965,1975,36,1,0,0
2,1136,1,1,3,4,1,4,2,1,8660489,1978,30,0,0,1
6,1902,2,1,5,2,1,1,2,5,22157385,1970,42,1,0,0
3,1069,1,1,3,3,1,3,2,6,11232696,2009,4,0,0,1
3,931,1,1,3,3,1,1,2,5,9461549,1986,22,0,0,1
5,2010,3,2,5,1,0,3,3,4,11515372,1999,10,0,0,1
3,1074,1,1,3,3,0,3,3,5,10002847,1994,16,0,0,1
7,1972,2,1,5,5,0,3,1,4,14577130,2008,5,0,0,1
7,1685,1,1,4,2,0,3,3,6,13130325,1980,34,0,1,0
2,1130,1,1,3,2,1,1,2,4,13905300,1981,30,1,0,0
1,1301,1,1,3,4,1,3,3,2,8368365,2003,7,0,0,1
2,730,1,1,2,5,1,1,3,5,9166824,1972,39,0,1,0
7,1806,2,1,5,2,0,2,2,4,11882434,1978,35,0,1,0
6,1981,2,1,5,5,0,1,1,5,13464561,2000,9,0,1,0
2,868,1,1,3,4,0,2,3,5,9439900,2001,10,0,0,1
7,1721,1,1,4,5,1,1,2,6,15513979,1992,20,0,0,1
4,1755,2,1,4,5,1,4,3,1,10702831,1987,19,0,0,1
6,1709,1,1,4,2,0,2,3,4,13471591,2003,6,0,0,1
5,2114,3,2,5,5,1,2,3,4,18478191,1989,21,1,0,0
1,1226,1,1,3,4,0,4,2,1,5239698,1983,27,0,1,0
4,1648,2,1,4,2,1,2,2,2,9528316,1998,13,0,0,1
3,856,1,1,3,5,1,3,3,6,10819523,1985,26,0,0,1
2,904,1,1,3,5,0,1,1,6,11972645,1969,40,1,0,0
3,1198,1,1,3,4,0,4,1,4,8603978,1976,36,0,0,1
1,931,1,1,3,5,0,4,2,1,7402837,1993,18,1,0,0
